Name,Cost,Collections,Cuisines,N_collections,open time,closing time
Beyond Flavours,800,"['Food Hygiene Rated Restaurants in Hyderabad', 'Corporate Favorites', 'Great Buffets', 'Top-Rated', 'Gold Curated', 'Live Sports Screenings']","['Chinese', 'Continental', 'Kebab', 'European', 'South Indian', 'North Indian']",6,12,23
Paradise,800,"[""Hyderabad's Hottest""]","['Biryani', 'North Indian', 'Chinese']",1,11,23
Flechazo,1300,"['Great Buffets', ""Hyderabad's Hottest""]","['Asian', 'Mediterranean', 'North Indian', 'Desserts']",2,11,23
Shah Ghouse Hotel & Restaurant,800,['Late Night Restaurants'],"['Biryani', 'North Indian', 'Chinese', 'Seafood', 'Beverages']",1,12,2
Over The Moon Brew Company,1200,"['Best Bars & Pubs', 'Food Hygiene Rated Restaurants in Hyderabad', 'Top-Rated', 'Gold Curated', ""Hyderabad's Hottest""]","['Asian', 'Continental', 'North Indian', 'Chinese', 'Mediterranean']",5,12,24
The Fisherman's Wharf,1500,"['Sunday Brunches', 'Corporate Favorites', 'Great Buffets', ""Hyderabad's Hottest"", 'Food Hygiene Rated Restaurants in Hyderabad', 'Top-Rated', 'Gold Curated']","['Seafood', 'Goan', 'North Indian', 'Continental', 'Asian']",7,12,24
eat.fit,500,['Food Hygiene Rated Restaurants in Hyderabad'],"['Healthy Food', 'North Indian', 'Continental', 'South Indian']",1,7,22
Shah Ghouse Spl Shawarma,300,,['Lebanese'],0,12,24
Hyper Local,1000,"['Great Buffets', 'Live Sports Screenings', 'Best Bars & Pubs', 'Trending This Week']","['American', 'Chinese', 'North Indian', 'Kebab', 'South Indian']",4,12,24
Cream Stone,350,['Frozen Delights'],"['Ice Cream', 'Desserts']",1,10,1
Sardarji's Chaats & More,400,"['Street Food', 'Veggie Friendly', 'Pocket Friendly']","['Street Food', 'North Indian', 'Fast Food']",3,12,22
Barbeque Nation,1600,['Barbecue & Grill'],"['Mediterranean', 'North Indian', 'Kebab', 'BBQ']",1,12,23
Absolute Sizzlers,750,['Great Buffets'],"['Continental', 'American', 'Chinese']",1,11,1
The Lal Street - Bar Exchange,1300,"['Corporate Favorites', 'Happy Hours', 'Live Sports Screenings', 'Rooftops', 'Trending This Week']","['North Indian', 'Italian', 'Finger Food']",5,12,24
AB's - Absolute Barbecues,1500,"['Barbecue & Grill', 'Great Buffets', 'Corporate Favorites', ""Hyderabad's Hottest""]","['European', 'Mediterranean', 'North Indian']",4,12,23
KFC,500,,"['Burger', 'Fast Food']",0,11,23
NorFest - The Dhaba,550,,['North Indian'],0,12,22
Hotel Zara Hi-Fi,400,,"['Chinese', 'North Indian']",0,11,1
10 Downing Street,1900,['Trending This Week'],"['North Indian', 'Chinese', 'Continental']",1,12,24
Pakwaan Grand,400,['Trending This Week'],"['North Indian', 'Chinese', 'Biryani']",1,12,23
13 Dhaba,450,['Veggie Friendly'],['North Indian'],1,12,22
Jonathan's Kitchen - Holiday Inn Express & Suites,1900,"['Great Italian', 'Sunday Brunches']","['North Indian', 'Japanese', 'Italian', 'Salad', 'Sushi']",2,11,23
B-Dubs,1600,"[""Hyderabad's Hottest""]",['American'],1,11,24
Amul,150,,"['Ice Cream', 'Desserts']",0,10,5
SKYHY,1400,"['Live Sports Screenings', 'Gigs and Events']","['North Indian', 'Chinese', 'Continental']",2,12,1
Tiki Shack,1000,,['Continental'],0,12,23
Mustang Terrace Lounge,1300,"['Rooftops', 'Live Sports Screenings', 'Best Bars & Pubs']","['Mexican', 'Italian', 'North Indian', 'Chinese', 'Salad']",3,12,24
"3B's - Buddies, Bar & Barbecue",1100,"['Barbecue & Grill', 'Live Sports Screenings']","['North Indian', 'Mediterranean', 'European']",2,12,23
Behrouz Biryani,600,,"['Mughlai', 'Biryani']",0,10,1
